,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,QegI_XE9CFbOHQRWk8ruYA,la-pila-ciudad-juárez,La Pila,https://s3-media1.fl.yelpcdn.com/bphoto/bnfA8OmemoKFUphbHsZLuQ/o.jpg,False,https://www.yelp.com/biz/la-pila-ciudad-ju%C3%A1rez?adjust_creative=v1IPvRE6E8Y2KB5ReTy53Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=v1IPvRE6E8Y2KB5ReTy53Q,5,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 31.7348878578055, 'longitude': -106.466252805195}",[],$,"{'address1': 'Av. Vicente Guerrero S/N', 'address2': '', 'address3': '', 'city': 'Ciudad Juárez', 'zip_code': '32030', 'country': 'MX', 'state': 'CHH', 'display_address': ['Av. Vicente Guerrero S/N', '32030 Ciudad Juárez, Chihuahua', 'Mexico']}",,,7474.793130773455
1,wzmsxVD1PiE1hfEcUFfxew,el-taquito-el-paso-2,El Taquito,https://s3-media3.fl.yelpcdn.com/bphoto/fYAkPMnMiqqIWLxRi84yZw/o.jpg,False,https://www.yelp.com/biz/el-taquito-el-paso-2?adjust_creative=v1IPvRE6E8Y2KB5ReTy53Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=v1IPvRE6E8Y2KB5ReTy53Q,423,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 31.78811, 'longitude': -106.39499}",['delivery'],$,"{'address1': '1422 Airway Blvd', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['1422 Airway Blvd', 'El Paso, TX 79925']}",+19157787170,(915) 778-7170,3106.0095683253367
2,P8xqkrBymjeRdG_tJCuMkg,roll-in-flautas-el-paso,Roll-In Flautas,https://s3-media4.fl.yelpcdn.com/bphoto/LUC2761w3RhTL0H7eWsYbw/o.jpg,False,https://www.yelp.com/biz/roll-in-flautas-el-paso?adjust_creative=v1IPvRE6E8Y2KB5ReTy53Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=v1IPvRE6E8Y2KB5ReTy53Q,10,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 31.878417, 'longitude': -106.59331}",[],,"{'address1': '6190 Doniphan Dr', 'address2': 'Ste D', 'address3': '', 'city': 'El Paso', 'zip_code': '79932', 'country': 'US', 'state': 'TX', 'display_address': ['6190 Doniphan Dr', 'Ste D', 'El Paso, TX 79932']}",+19152220391,(915) 222-0391,18313.806132622547
3,QCChBK2Ub8iPFBsZPBqBHA,tortas-y-mas-el-paso,Tortas Y Mas,https://s3-media2.fl.yelpcdn.com/bphoto/5JigH5jJZfIyPWK8tc8kmg/o.jpg,False,https://www.yelp.com/biz/tortas-y-mas-el-paso?adjust_creative=v1IPvRE6E8Y2KB5ReTy53Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=v1IPvRE6E8Y2KB5ReTy53Q,39,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 31.8700129, 'longitude': -106.426972}",[],$,"{'address1': '4919 Hondo Pass Dr', 'address2': None, 'address3': None, 'city': 'El Paso', 'zip_code': '79924', 'country': 'US', 'state': 'TX', 'display_address': ['4919 Hondo Pass Dr', 'El Paso, TX 79924']}",+19157571445,(915) 757-1445,8541.450399989184
4,a6T4OR6PN99z5BFhMA-6dQ,keflauta-el-paso-2,Ke'Flauta,https://s3-media4.fl.yelpcdn.com/bphoto/nemYgSpLUz7DbI1Jg1WrBQ/o.jpg,False,https://www.yelp.com/biz/keflauta-el-paso-2?adjust_creative=v1IPvRE6E8Y2KB5ReTy53Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=v1IPvRE6E8Y2KB5ReTy53Q,9,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 31.784991, 'longitude': -106.506761}","['pickup', 'delivery']",,"{'address1': '3501 Sun Bowl Dr', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['3501 Sun Bowl Dr', 'El Paso, TX 79902']}",+19152617640,(915) 261-7640,7571.0645227057175
