,id,url,text,rating,time_created,user
0,y82KZb6XowlAu9daupA_kA,https://www.yelp.com/biz/la-pila-ciudad-ju%C3%A1rez?adjust_creative=v1IPvRE6E8Y2KB5ReTy53Q&hrid=y82KZb6XowlAu9daupA_kA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=v1IPvRE6E8Y2KB5ReTy53Q,"I could eat 50 of these!! They're small and delicious. I always get 2 orders of beef and 1 of potatoes with lots of carrots. 
They're so unhealthy and...",5,2017-06-08 20:03:51,"{'id': 'HJSyF4lwFbHXirya7q1giw', 'profile_url': 'https://www.yelp.com/user_details?userid=HJSyF4lwFbHXirya7q1giw', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/Ew92Aea0eqnuZRg6w2F6cw/o.jpg', 'name': 'Daniela S.'}"
1,IJkZTsYpFHJpfsQRepQ3CQ,https://www.yelp.com/biz/la-pila-ciudad-ju%C3%A1rez?adjust_creative=v1IPvRE6E8Y2KB5ReTy53Q&hrid=IJkZTsYpFHJpfsQRepQ3CQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=v1IPvRE6E8Y2KB5ReTy53Q,Best Place to came and eat very friendly and great flautas The Bes one's in the universe,5,2021-09-23 14:32:43,"{'id': 'cN6hcGHP-JTDdMxwERwejQ', 'profile_url': 'https://www.yelp.com/user_details?userid=cN6hcGHP-JTDdMxwERwejQ', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/zFeB4BkvaAYRxcM9jfb79w/o.jpg', 'name': 'Lety M.'}"
